No of cycles(log-scaled),fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Al,H,Mo
5.703433253,-1.00713,0.290874,-1.0916,0.651703,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.714283645,-1.01094,0.290874,-1.0916,0.180226,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.744145063,-1.76154,0.290874,-1.0916,1.59466,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.752874742,-1.34208,0.290874,-1.0916,0.180226,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.77815125,1.11159,-1.8906,-0.635106,-0.880598,-1.2113,3.41708,-0.647596,1.29614,1.34742,0.295062,2.68383,2.99605
5.778592559,-1.3412,0.290874,-1.0916,0.651703,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.834301781,-1.62338,0.290874,-1.0916,0.180226,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.856516826,-1.62278,0.290874,-1.0916,0.651703,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
5.999267162,-1.76547,0.290874,-1.0916,0.651703,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6,-0.892841,-1.8906,-0.635106,-0.880598,-0.627444,0.612181,-0.647596,-0.928914,-0.614455,-0.45803,0.276653,-0.192282
6,-1.94896,0.290874,-1.0916,1.59466,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6,-1.481,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,-0.928914,-0.384843,0.426853,-0.00337099,-0.388233
6,-0.48819,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,1.29614,-0.384843,0.426853,-0.00337099,-0.388233
6,0.401101,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,2.10525,-0.384843,0.426853,-0.00337099,-0.388233
6,0.965731,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,2.71209,-0.384843,0.426853,-0.00337099,-0.388233
6,-0.539948,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.46138,0.426853,0.336832,-0.388233
6,0.306996,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,2.10525,-0.46138,0.426853,0.336832,-0.388233
6,-0.492895,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.46138,0.426853,0.336832,-0.388233
6,-0.789326,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.15523,0.483335,0.336832,-0.388233
6,-0.0741286,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,2.10525,-0.15523,0.483335,0.336832,-0.388233
6,-0.0694234,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,0.325755,1.34742,0.426853,0.336832,-0.388233
6.000624501,-1.75988,0.290874,-1.0916,0.180226,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.263622815,0.88033,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.414973348,-0.0553076,-1.8906,-0.635106,1.14675,-1.2113,3.41708,-0.647596,1.29614,1.34742,0.295062,2.68383,2.99605
6.428711148,0.654808,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.555035531,-0.198959,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.621782313,-0.746682,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.681702159,-1.17629,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.727873195,-1.46086,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
6.77815125,-0.441138,-1.8906,-0.635106,1.14675,-1.2113,3.41708,-0.647596,1.29614,1.34742,0.295062,2.68383,2.99605
7,-1.01047,-1.8906,-0.635106,-0.880598,-0.627444,0.612181,-0.647596,-0.928914,-0.614455,-0.45803,0.276653,-0.192282
7,-1.19868,-1.8906,-0.635106,1.8304,-0.627444,0.612181,-0.647596,1.29614,-0.614455,-0.45803,0.276653,-0.192282
7,-1.60584,0.290874,-1.0916,-0.880598,-0.528499,-1.11485,1.94784,-0.928914,-0.805799,0.332717,-1.52873,-0.388233
7,-1.52805,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,-0.928914,-0.384843,0.426853,-0.00337099,-0.388233
7,-0.746979,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,1.29614,-0.384843,0.426853,-0.00337099,-0.388233
7,-0.351738,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,2.10525,-0.384843,0.426853,-0.00337099,-0.388233
7,0.871626,0.00955252,-0.635106,-0.880598,-0.501187,-0.208465,-0.647596,2.71209,-0.384843,0.426853,-0.00337099,-0.388233
7,-0.822263,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.46138,0.426853,0.336832,-0.388233
7,-0.351738,-0.0422699,-0.174477,-0.880598,-0.528499,-0.208465,-0.647596,2.10525,-0.46138,0.426853,0.336832,-0.388233
7,-1.01988,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,1.29614,-0.15523,0.483335,0.336832,-0.388233
7,-0.624642,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,2.10525,-0.15523,0.483335,0.336832,-0.388233
7,-0.163528,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,-0.647596,0.325755,1.34742,0.426853,0.336832,-0.388233
7.099421472,1.80491,-1.8906,-0.635106,-0.880598,0.1543,-0.208465,-0.647596,1.29614,-0.798145,0.144444,3.28562,3.41097
7.351863668,1.55694,-1.8906,-0.635106,-0.880598,0.1543,-0.208465,-0.647596,1.29614,-0.798145,0.144444,3.28562,3.41097
7.477121255,-0.0553076,-1.8906,-0.635106,-0.880598,-1.2113,3.41708,-0.647596,1.29614,1.34742,0.295062,2.68383,2.99605
7.537604009,1.09635,-1.8906,-0.635106,-0.880598,0.1543,-0.208465,-0.647596,1.29614,-0.798145,0.144444,3.28562,3.41097
7.595721611,0.618107,-1.8906,-0.635106,-0.880598,0.1543,-0.208465,-0.647596,1.29614,-0.798145,0.144444,3.28562,3.41097
7.677520779,-0.0904558,-1.8906,-0.635106,-0.880598,0.1543,-0.208465,-0.647596,1.29614,-0.798145,0.144444,3.28562,3.41097
